,id,icon,site,country,missed,total,missed_count,missed_percent
0,87.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
1,89.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
2,48.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
3,1.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
4,0.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
5,95.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
6,96.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
7,97.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
8,POPMax.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/4003.jpg?44247,,uk,True,1.0,1.0,100.0
9,99.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
10,10.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
11,40.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
12,93.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
13,4.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
14,92.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
15,91.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
16,90.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
17,9.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
18,98.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
19,59.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
20,37.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
21,80.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
22,18.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
23,38.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
24,85.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
25,86.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
26,41.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
27,94.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
28,102.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
